{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 4), ('C', 1)], 'B': [('s', 4), ('C', 2), ('D', 5)], 'C': [('s', 1), ('B', 2), ('t', 3)], 't': [('B', 5), ('C', 3)]}
{'s': [('B', 2), ('C', 4)], 'B': [('s', 2), ('C', 1), ('D', 3)], 'C': [('s', 4), ('B', 1), ('D', 5)], 'D': [('B', 3), ('C', 5), ('t', 2)], 't': [('D', 2)]}
{'s': [('B', 3), ('C', 2)], 'B': [('s', 3), ('C', 1), ('D', 4)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('t', 5)], 't': [('D', 5)]}
{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 3), ('C', 2)], 'B': [('s', 3), ('C', 1), ('D', 4)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('t', 5)], 't': [('D', 5)]}
{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 4), ('C', 2)], 'B': [('s', 4), ('C', 1), ('D', 5)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('t', 4)], 't': [('D', 4)]}
{'s': [('B', 3), ('C', 2)], 'B': [('s', 3), ('C', 1), ('D', 4)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('t', 5)], 't': [('D', 5)]}
{'s': [('B', 3), ('C', 2)], 'B': [('s', 3), ('C', 1), ('D', 4)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('t', 5)], 't': [('D', 5)]}
{'s': [('B', 4), ('C', 2)], 'B': [('s', 4), ('C', 1), ('D', 5)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('t', 4)], 't': [('D', 4)]}
{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 2), ('C', 4)], 'B': [('s', 2), ('C', 1), ('D', 3)], 'C': [('s', 4), ('B', 1), ('D', 5)], 'D': [('B', 3), ('C', 5), ('t', 2)], 't': [('D', 2)]}
{'s': [('B', 4), ('C', 2)], 'B': [('s', 4), ('C', 1), ('D', 5)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('t', 4)], 't': [('D', 4)]}
{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 4), ('C', 2)], 'B': [('s', 4), ('C', 1), ('D', 5)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('t', 4)], 't': [('D', 4)]}
{'s': [('B', 5), ('C', 3)], 'B': [('s', 5), ('C', 2), ('D', 4)], 'C': [('s', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('t', 7)], 't': [('D', 7)]}
{'s': [('B', 4), ('C', 2)], 'B': [('s', 4), ('C', 1), ('D', 5)], 'C': [('s', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('t', 4)], 't': [('D', 4)]}
