{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 1)], 'B': [('A', 4), ('C', 2), ('D', 5)], 'C': [('A', 1), ('B', 2), ('D', 3)], 'D': [('B', 5), ('C', 3)]}
{'A': [('B', 2), ('C', 4)], 'B': [('A', 2), ('C', 1), ('D', 3)], 'C': [('A', 4), ('B', 1), ('D', 5)], 'D': [('B', 3), ('C', 5), ('E', 2)], 'E': [('D', 2)]}
{'A': [('B', 3), ('C', 2)], 'B': [('A', 3), ('C', 1), ('D', 4)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('E', 5)], 'E': [('D', 5)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 3), ('C', 2)], 'B': [('A', 3), ('C', 1), ('D', 4)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('E', 5)], 'E': [('D', 5)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 3), ('C', 2)], 'B': [('A', 3), ('C', 1), ('D', 4)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('E', 5)], 'E': [('D', 5)]}
{'A': [('B', 3), ('C', 2)], 'B': [('A', 3), ('C', 1), ('D', 4)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 4), ('C', 3), ('E', 5)], 'E': [('D', 5)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 2), ('C', 4)], 'B': [('A', 2), ('C', 1), ('D', 3)], 'C': [('A', 4), ('B', 1), ('D', 5)], 'D': [('B', 3), ('C', 5), ('E', 2)], 'E': [('D', 2)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
{'A': [('B', 4), ('C', 2)], 'B': [('A', 4), ('C', 1), ('D', 5)], 'C': [('A', 2), ('B', 1), ('D', 3)], 'D': [('B', 5), ('C', 3), ('E', 4)], 'E': [('D', 4)]}
{'A': [('B', 5), ('C', 3)], 'B': [('A', 5), ('C', 2), ('D', 4)], 'C': [('A', 3), ('B', 2), ('D', 6)], 'D': [('B', 4), ('C', 6), ('E', 7)], 'E': [('D', 7)]}
